Dev2/ai0	Dev2/ai1	Dev2/ai2	Dev2/ai3	Dev2/ai4	Dev2/ai5	Dev2/ai6	Dev2/ai7	Dev2/ai8	Dev2/ai9	Dev2/ai10	Dev2/ai11	Dev2/ai12	Dev2/ai13	Dev2/ai14	Dev2/ai15	
2400
-3.129883e+000	-3.628540e-001	1.568604e-001	2.810669e-001	4.312134e-001	3.234863e-001	3.390503e-001	5.584717e-001	4.229126e+000	1.911926e+000	9.799194e-001	6.460571e-001	6.027222e-001	4.632568e-001	0.000000e+000	3.732300e-001	
-2.219543e+000	-7.608032e-001	-7.781982e-002	2.050781e-001	3.637695e-001	3.497314e-001	3.329468e-001	5.355835e-001	3.121338e+000	2.310486e+000	1.343689e+000	8.395386e-001	6.558228e-001	5.270386e-001	-3.051758e-004	2.951050e-001	
-1.571960e+000	-9.487915e-001	-3.134155e-001	8.453369e-002	2.865601e-001	3.445435e-001	3.292847e-001	5.203247e-001	2.315369e+000	2.344055e+000	1.623840e+000	1.059570e+000	7.571411e-001	5.981445e-001	-3.051758e-004	2.401733e-001	
-1.110229e+000	-1.001587e+000	-5.090332e-001	-6.164551e-002	1.928711e-001	3.140259e-001	3.176880e-001	5.087280e-001	1.728516e+000	2.189331e+000	1.784058e+000	1.265259e+000	8.892822e-001	6.842041e-001	3.051758e-004	2.020264e-001	
-7.797241e-001	-9.729004e-001	-6.497192e-001	-2.127075e-001	8.331299e-002	2.609253e-001	2.941895e-001	4.949951e-001	1.301575e+000	1.950378e+000	1.831970e+000	1.427612e+000	1.030884e+000	7.852173e-001	0.000000e+000	1.751709e-001	
-5.441284e-001	-8.969116e-001	-7.342529e-001	-3.515625e-001	-3.601074e-002	1.882935e-001	2.560425e-001	4.751587e-001	9.893799e-001	1.687927e+000	1.791687e+000	1.532898e+000	1.163635e+000	8.947754e-001	-3.051758e-004	1.556396e-001	
-3.765869e-001	-7.974243e-001	-7.693481e-001	-4.669189e-001	-1.571655e-001	1.016235e-001	2.023315e-001	4.452515e-001	7.595825e-001	1.434021e+000	1.690063e+000	1.579285e+000	1.272583e+000	1.003418e+000	-3.051758e-004	1.406860e-001	
-2.612305e-001	-6.915283e-001	-7.653809e-001	-5.526733e-001	-2.716064e-001	4.577637e-003	1.345825e-001	4.049683e-001	5.874634e-001	1.203003e+000	1.550903e+000	1.573486e+000	1.349487e+000	1.102600e+000	0.000000e+000	1.296997e-001	
-1.840210e-001	-5.883789e-001	-7.330322e-001	-6.085205e-001	-3.723145e-001	-9.582520e-002	5.615234e-002	3.524780e-001	4.553223e-001	9.997559e-001	1.393127e+000	1.524963e+000	1.391296e+000	1.185303e+000	0.000000e+000	1.208496e-001	
-1.370239e-001	-4.943848e-001	-6.820679e-001	-6.362915e-001	-4.550171e-001	-1.937866e-001	-2.929688e-002	2.896118e-001	3.509521e-001	8.248901e-001	1.230774e+000	1.444092e+000	1.398926e+000	1.246033e+000	0.000000e+000	1.141357e-001	
